reviews,stars,dates
"  Estou aqui para relatar uma experiência que tive, visando contribuir com os amigos que estão com o problema do controle remoto que não abaixa/sobe o volume, nem tampouco liga/desliga a tv. Comprei o meu Fire Stick, instalei em uma tv Sony antiga e tudo funcionando 100%, volume, desligar a tv, ok. Mas colocando ele em outros aparelhos aqui de casa, inclusive uma Smart AOC bem mais nova, em nenhum mais funcionaram os comandos, somente as opções de navegação do Fire. E vi relatos aqui de que para as funções funcionarem a tv teria que ter saída HDMI CEC. Bem, levei o aparelho até a casa de minha mãe, pois ela queria ver o seu funcionamento para decidir se comprava um para ela ou não. Ela tem uma tv da TCL,  e....também não funcionaram as funções Liga/Desliga e volume. Fiquei intrigado pois a TV é nova, bem mais nova que a minha Sony que citei acima. Minha mãe gostou, comprou um para ela e, surpresa, quando instalei o Fire Stick dela...funcionaram o volume e o liga/desliga. Minha humilde conclusão é de que quando vc instala numa primeira tv, ele assume as configurações desta tv e  se vc instalá-lo em outro aparelho, ele não consegue efetuar a compatibilidade do controle remoto porque não apaga da memória interna as configurações do primeiro aparelho que você instalou. Inclusive após a instalação de teste do meu aparelho na TCL, ao verificar as  configurações internas do Fire, estava registrada lá a Sony. Confesso que não tentei fazer o reset para voltar às configurações de fábrica, que provavelmente iria apagar toda a memória e deixá-lo ""zerado"" novamente para poder assumir as configurações de um novo televisor. Essa seria uma sugestão. Desculpem o textão e desculpem também se não ficou claro o que tentei expor aqui. Talvez alguém já tentado fazer o reset de fábrica e mesmo assim não deu certo, neste caso, por favor relate aqui, Estamos todos aqui para nos ajudar. Abraços.",5,2021-06-05
"  Já havia comprado a versão Lite, o que já achei MARAVILHOSO! Porém, ao ver essa versão, não aguentei, comprei novamente. Chegou extremamente rápido (de verdade, chegou rápido MESMO), já é um ponto positivo.Instalei e comecei a analisar. O controle remoto está bárbaro, essa nova versão, Full HD, vem com botões a mais, FINALMENTE colocaram as funções de volume da TV, liga/desliga e, logo abaixo, quase no fim do controle, atalhos rápidos da Netflix, Amazon Prime Vídeo, Disney+ e Amazon Music (Desculpe-me querida Amazon, adoro você, PORÉM, poderia ser Spotify).Novamente só deixo 1 reclamação, CADÊ A GLOBOPLAY nos apps?",5,2021-05-07
"  Bom. Bem fluído, interessante e eficaz em cumprir o que promete. Única reclamação é que o controle não pareou com a Smart TV da Philco de 2019, mas pareou com uma Panasonic arcaica de 2011. Vai entender…[EDIT] descobri que o problema está na TV, e não no Fire Tv Stick. Procure saber antes de comprar se sua TV tem a tecnologia HDMI-CEC nas portas HDMI. A minha Philco, apesar de nova, só tem HDMI-ARC. (Se vc tem Philco, provavelmente não tem)",5,2021-05-07
"  Estou bem chateado, ja possuía o modelo antigo e estava bem contente já, vi esse modelo novo com opções novas no controle, comprei na pré venda, paguei mais caro, chegou e como não têm especificado que a tv tenha que possuir HDMI CEC, eu acabo de perder 379 reais, as opções nao funciona na televisão designada, sendo que de forma alguma NÃO  POSSUI informações de quais tvs funcionam.",3,2021-05-09
"  Aparelho muito bom, está lidando muito bem com o home e com a TV. Tem apenas uma porém, para baixar alguns aplicativos que são GRÁTIS é necessário adicionar uma forma de pagamento, mesmo ele sendo GRÁTIS. Exemplo, para baixar o app do Disney+ foi necessário cadastrar um cartão de crédito na minha conta. Porém, eu já tinha uma conta no Disney+ (¯\_(ツ)_/¯).",4,2021-05-06
"  Comprei na terça-feira, 04/05 e chegou hoje, 07/05. Consegui instalar facilmente na Smart Tv Panasonic. Instalei os principais apps que não tinha como instalar nessa smart: Disney e Amazon Prime.Deu tudo certo, ótimo. E sobre o Disney entra normalmente, não pede cartão de crédito como tem em uma avaliação.Pena não dar para instalar globoplay, mas na minha smart já vem pré-instalado.Comprem sem medo.",5,2021-05-07
"  Ficou muito bom, ótima interação..E tem o Directv Go.....Perfeito nunca mais gastar uma fortuna com TV A CABO..",5,2021-05-09
"  Nota 9 , pois não consigo controlar volume do som Bluetooth que sai na echodot, fora isso o equipamento superou as expectativas !!!!",5,2021-05-06
"  O produto em si cumpre o que promete, mas é uma vergonha a Amazon não colocar todos os apps. Não faz sentido. Conseguem perder pra uma Smart LG. Não tem HBO Max, não tem Globo play, não tem Google play. A Alexa funciona, só que muito pior que nos dispositivos echo. Pra mim não serviu de nada, pois não consegue diferenciar YouTube de YouTube kids. O controle pro voz não permite você falar um endereço de web por exemplo. Você pede pra colocar um programa que está no YouTube ela abre a página do programa mas não disponibiliza pra assistir no YouTube (testes com programas infantis). Realmente muito ruim, se você tem o FireTv antigo não compensa fazer esse upgrade. Gosto muito dos produtos Amazon, tenho duas echo, mas essaFireStick não presta.",1,2021-07-02
"  Aparelho muito prático e facilitou o uso dos streamings, o controle é muito bonito e ótimo de se usar, o aparelho é muito menor do que eu esperava, a mudança de apps são rápidas. A única coisa q fiquei desapontado, é o mesmo de outros usuários, senti falta da Globoplay neste aparelho.[Edit] 3 semanas com o aparelho, e teve alguns bugs no YouTube e Telecine, mas foi resolvido facilmente. Mas tirando isso, está rodando perfeitamente, valeu cada centavo.[Edit 2] Quase 4 semanas com o aparelho, apresentou problemas com o YouTube, os vídeos não reproduziam, tive que reiniciar o FireTV. Também apresentou problemas com a Twitch várias vezes, as lives travam do nada, e não reproduziam, e quando eu fechava o aplicativo, e tentava abrir novamente, a Twitch travava e não abria, e tinha que reiniciar o FireTV também.",5,2021-05-23
